RANK,WORD,PART OF SPEECH,FREQUENCY,DISPERSION
488,   carry,v,79513,0.97
4093,   cart,n,6822,0.92
4195,   cartoon,n,6403,0.94
3840,   carve,v,7294,0.95
186,   case,n,200773,0.95
4475,   case,c,5791,0.94
1735,   cash,n,21343,0.94
4371,   casino,n,6205,0.91
2052,   cast,v,17163,0.97
4354,   cast,n,6007,0.95
3992,   casual,j,6946,0.94
4272,   casualty,n,6439,0.91
1788,   cat,n,21135,0.92
4494,   catalog,n,5925,0.92
587,   catch,v,68214,0.94
4271,   catch,n,6377,0.92
1469,   category,n,27219,0.9
1769,   Catholic,j,20866,0.94
3127,   Catholic,n,9955,0.94
3664,   cattle,n,7827,0.95
602,   cause,v,64531,0.97
1010,   cause,n,38843,0.96
3596,   cave,n,8261,0.92
4518,   cease,v,5679,0.95
2662,   ceiling,n,12668,0.92
2037,   celebrate,v,17421,0.96
3022,   celebration,n,10209,0.96
2985,   celebrity,n,10756,0.93
898,   cell,n,44831,0.94
4643,   cemetery,n,5584,0.93
531,   center,n,74559,0.96
743,   central,j,52501,0.94
606,   century,n,65667,0.94
2510,   CEO,n,13956,0.91
2694,   ceremony,n,11923,0.97
578,   certain,j,67228,0.97
664,   certainly,r,59739,0.93
1819,   chain,n,19688,0.96
949,   chair,n,43256,0.91
1379,   chairman,n,28560,0.92
987,   challenge,n,40380,0.94
1779,   challenge,v,20510,0.95
2690,   chamber,n,12034,0.96
2777,   champion,n,12247,0.9
2346,   championship,n,16008,0.86
614,   chance,n,62682,0.97
307,   change,v,123183,0.98
357,   change,n,112426,0.94
3349,   changing,j,9055,0.93
2541,   channel,n,12975,0.96
3764,   chaos,n,7304,0.97
3001,   chapter,n,10579,0.94
787,   character,n,49530,0.96
2049,   characteristic,n,19621,0.85
2907,   characterize,v,11799,0.88
926,   charge,n,42353,0.95
1428,   charge,v,26432,0.96
4375,   charge,i,5893,0.96
3314,   charity,n,9054,0.95
4822,   charm,n,5157,0.95
2767,   chart,n,11861,0.93
4435,   charter,n,6011,0.92
3341,   chase,v,8980,0.95
1944,   cheap,j,18371,0.96
4415,   cheat,v,5819,0.96
857,   check,v,45760,0.95
1900,   check,n,18764,0.97
2697,   cheek,n,13411,0.86
4677,   cheer,v,5442,0.95
2122,   cheese,n,17416,0.9
3193,   chef,n,10131,0.89
2640,   chemical,n,12673,0.94
2752,   chemical,j,12006,0.93
4790,   chemistry,n,5192,0.95
